name,short_name,easting,northing,depth,log_q_c
Jaksa_D54,D54,25,31,0.251,0.62057648772511
Jaksa_D54,D54,25,31,0.256,0.62057648772511
Jaksa_D54,D54,25,31,0.261,0.62057648772511
Jaksa_D54,D54,25,31,0.266,0.4885800148186709
Jaksa_D54,D54,25,31,0.271,0.62057648772511
Jaksa_D54,D54,25,31,0.276,0.3293037471426003
Jaksa_D54,D54,25,31,0.281,0.3293037471426003
Jaksa_D54,D54,25,31,0.287,0.62057648772511
Jaksa_D54,D54,25,31,0.292,0.4885800148186709
Jaksa_D54,D54,25,31,0.297,0.3293037471426003
Jaksa_D54,D54,25,31,0.302,0.3293037471426003
Jaksa_D54,D54,25,31,0.307,0.3293037471426003
Jaksa_D54,D54,25,31,0.312,0.3293037471426003
Jaksa_D54,D54,25,31,0.317,0.3293037471426003
Jaksa_D54,D54,25,31,0.322,0.3293037471426003
Jaksa_D54,D54,25,31,0.327,0.3293037471426003
Jaksa_D54,D54,25,31,0.332,0.62057648772511
Jaksa_D54,D54,25,31,0.337,1.0296194171811581
Jaksa_D54,D54,25,31,0.342,1.184789984909162
Jaksa_D54,D54,25,31,0.347,1.3190856114264407
Jaksa_D54,D54,25,31,0.352,1.3190856114264407
Jaksa_D54,D54,25,31,0.357,1.5432981099295553
Jaksa_D54,D54,25,31,0.362,1.6389967146756448
Jaksa_D54,D54,25,31,0.367,1.6389967146756448
Jaksa_D54,D54,25,31,0.372,1.682688374173693
Jaksa_D54,D54,25,31,0.377,1.5623463049002497
Jaksa_D54,D54,25,31,0.382,1.6639260977181702
Jaksa_D54,D54,25,31,0.387,1.8961194845522977
Jaksa_D54,D54,25,31,0.392,1.8931119634883424
Jaksa_D54,D54,25,31,0.397,2.005525858729668
Jaksa_D54,D54,25,31,0.402,2.178155014615869
Jaksa_D54,D54,25,31,0.407,2.134166441369082
Jaksa_D54,D54,25,31,0.412,2.2407096892759584
Jaksa_D54,D54,25,31,0.417,2.295560478057081
Jaksa_D54,D54,25,31,0.422,2.3233676321765744
Jaksa_D54,D54,25,31,0.427,2.21375387928743
Jaksa_D54,D54,25,31,0.432,2.0769384114617173
Jaksa_D54,D54,25,31,0.437,1.965712776351493
Jaksa_D54,D54,25,31,0.442,2.020222182019865
Jaksa_D54,D54,25,31,0.447,2.1004689088719113
Jaksa_D54,D54,25,31,0.452,2.2027647577118348
Jaksa_D54,D54,25,31,0.457,2.2512917986064953
Jaksa_D54,D54,25,31,0.462,2.362739015813793
Jaksa_D54,D54,25,31,0.467,2.449279472144849
Jaksa_D54,D54,25,31,0.472,2.5321082512722946
Jaksa_D54,D54,25,31,0.478,2.580974118534234
Jaksa_D54,D54,25,31,0.483,2.598979106047848
Jaksa_D54,D54,25,31,0.488,2.6019486702196644
Jaksa_D54,D54,25,31,0.493,2.5718485799218085
