name,short_name,easting,northing,depth,log_q_c
A1_14,14,0,0,0.252,-2.795304451993377
A1_14,14,0,0,0.266,-2.4821572917071344
A1_14,14,0,0,0.28,-2.0480186578416117
A1_14,14,0,0,0.294,-2.0500308226782282
A1_14,14,0,0,0.307,-2.236668845606848
A1_14,14,0,0,0.321,-2.3138107058197823
A1_14,14,0,0,0.344,-1.930311249163817
A1_14,14,0,0,0.357,-1.6103633945622726
A1_14,14,0,0,0.37,-1.571164691377176
A1_14,14,0,0,0.383,-1.8898810377164639
A1_14,14,0,0,0.399,-2.239711879597068
A1_14,14,0,0,0.411,-2.216864871902528
A1_14,14,0,0,0.424,-2.1734921830521374
A1_14,14,0,0,0.438,-2.55962837320212
A1_14,14,0,0,0.451,-2.6902134663869717
A1_14,14,0,0,0.464,-2.6026588066525758
A1_14,14,0,0,0.478,-2.6247204503904102
A1_14,14,0,0,0.491,-2.3231616459169144
A1_14,14,0,0,0.504,-2.048616234412285
A1_14,14,0,0,0.517,-2.28875952088411
A1_14,14,0,0,0.53,-2.5122527725362134
A1_14,14,0,0,0.544,-2.7253055525290604
A1_14,14,0,0,0.558,-2.293684626422307
A1_14,14,0,0,0.571,-2.303061473351766
A1_14,14,0,0,0.585,-2.221056133632857
A1_14,14,0,0,0.598,-2.1031998949356896
A1_14,14,0,0,0.612,-1.9599947601823746
A1_14,14,0,0,0.627,-2.289511805696568
A1_14,14,0,0,0.638,-2.319251177996992
A1_14,14,0,0,0.651,-2.3771531878433905
A1_14,14,0,0,0.664,-2.4248675891371083
A1_14,14,0,0,0.677,-2.759457471314288
A1_14,14,0,0,0.69,-3.0590573494155624
A1_14,14,0,0,0.704,-3.0794089663750635
A1_14,14,0,0,0.718,-2.9224870230155133
A1_14,14,0,0,0.731,-3.1567417714707777
A1_14,14,0,0,0.745,-3.329449129061643
A1_14,14,0,0,0.757,-3.325427669749679
A1_14,14,0,0,0.772,-3.3018946908771363
A1_14,14,0,0,0.785,-3.04069664125693
A1_14,14,0,0,0.798,-2.2814856334787477
A1_14,14,0,0,0.811,-1.5445815765647195
A1_14,14,0,0,0.825,-1.1338262733814926
A1_14,14,0,0,0.838,-1.0554131041689305
A1_14,14,0,0,0.854,-1.2402731466939474
A1_14,14,0,0,0.864,-1.5540575817225815
A1_14,14,0,0,0.877,-1.55278636157716
A1_14,14,0,0,0.9,-1.7604981368414034
A1_14,14,0,0,0.913,-1.8738385105779787
A1_14,14,0,0,0.926,-1.8549747089874877
A1_14,14,0,0,0.939,-1.5862770661826329
A1_14,14,0,0,0.952,-1.4082733111609915
A1_14,14,0,0,0.965,-1.4413242824001784
A1_14,14,0,0,0.978,-1.5386873715484917
A1_14,14,0,0,0.992,-1.8595930582639464
A1_14,14,0,0,1.008,-2.1003736674393845
A1_14,14,0,0,1.019,-1.987149033790531
A1_14,14,0,0,1.033,-2.186296584146752
A1_14,14,0,0,1.046,-2.297187309000918
A1_14,14,0,0,1.059,-2.464925411382157
A1_14,14,0,0,1.072,-2.3793410059014852
A1_14,14,0,0,1.088,-1.8593124070151412
A1_14,14,0,0,1.098,-1.6551281072864132
A1_14,14,0,0,1.113,-1.7667388534350765
A1_14,14,0,0,1.126,-1.6454030062217873
A1_14,14,0,0,1.139,-1.397699360431552
A1_14,14,0,0,1.152,-1.4571079063176304
A1_14,14,0,0,1.166,-1.6732098865295193
A1_14,14,0,0,1.179,-2.0329240225876806
A1_14,14,0,0,1.193,-2.3100147877446258
A1_14,14,0,0,1.206,-2.3884248501725684
A1_14,14,0,0,1.22,-2.145293640475531
A1_14,14,0,0,1.233,-2.010464562094911
A1_14,14,0,0,1.246,-2.182602169951574
A1_14,14,0,0,1.259,-1.9887231080710661
A1_14,14,0,0,1.273,-1.7180252946973211
A1_14,14,0,0,1.286,-1.7482393680512005
A1_14,14,0,0,1.299,-2.023437992725491
A1_14,14,0,0,1.312,-2.0755790880982863
A1_14,14,0,0,1.326,-2.1680927385231006
A1_14,14,0,0,1.339,-2.2433538567647693
A1_14,14,0,0,1.353,-2.4004756008722294
A1_14,14,0,0,1.366,-2.2836189065234738
A1_14,14,0,0,1.38,-1.9537002156624073
A1_14,14,0,0,1.393,-1.7835184954491639
A1_14,14,0,0,1.406,-1.836060450510548
A1_14,14,0,0,1.419,-1.6046867196728098
A1_14,14,0,0,1.432,-1.3171559270297823
A1_14,14,0,0,1.445,-1.2983002596420437
A1_14,14,0,0,1.458,-1.5557667323733768
A1_14,14,0,0,1.472,-1.903114818662597
A1_14,14,0,0,1.496,-2.2970727436881826
A1_14,14,0,0,1.51,-2.3480535807112917
