name,short_name,horizontal,depth,log_q_c
B2_04,04,0,0.26,-2.431421340603966
B2_04,04,0,0.272,-2.228837175753452
B2_04,04,0,0.284,-2.3115529158127384
B2_04,04,0,0.296,-2.164182754663542
B2_04,04,0,0.308,-2.1590257062878444
B2_04,04,0,0.319,-2.0677955203151295
B2_04,04,0,0.331,-2.0279185859918707
B2_04,04,0,0.343,-2.258705506706489
B2_04,04,0,0.355,-2.4828035179829446
B2_04,04,0,0.366,-2.5550748240720274
B2_04,04,0,0.377,-2.5894040916758994
B2_04,04,0,0.389,-2.7191328767152907
B2_04,04,0,0.403,-2.809217879247738
B2_04,04,0,0.414,-2.679751781214893
B2_04,04,0,0.426,-2.566797946086482
B2_04,04,0,0.438,-2.2004582642664716
B2_04,04,0,0.45,-2.2291061380082775
B2_04,04,0,0.463,-2.2527692785046822
B2_04,04,0,0.474,-2.2697320057336317
B2_04,04,0,0.486,-2.3223122345382823
B2_04,04,0,0.499,-2.526920006077145
B2_04,04,0,0.511,-2.7366072547845675
B2_04,04,0,0.523,-2.7046974078166195
B2_04,04,0,0.535,-2.3493380486112003
B2_04,04,0,0.548,-2.0368284343914063
B2_04,04,0,0.56,-2.09200397917526
B2_04,04,0,0.572,-2.1103353474526956
B2_04,04,0,0.584,-2.1461000416053007
B2_04,04,0,0.596,-1.867969166192512
B2_04,04,0,0.607,-1.970300138842324
B2_04,04,0,0.619,-2.2706715049933903
B2_04,04,0,0.631,-2.2749193506322594
B2_04,04,0,0.642,-2.366701130009527
B2_04,04,0,0.654,-2.3512196677423214
B2_04,04,0,0.666,-2.39812964799461
B2_04,04,0,0.678,-2.5070535746090683
B2_04,04,0,0.69,-2.6060488893081373
B2_04,04,0,0.702,-2.3583406158645985
B2_04,04,0,0.714,-2.220509790956917
B2_04,04,0,0.728,-2.111501620412513
B2_04,04,0,0.737,-2.075948724798696
B2_04,04,0,0.748,-1.9631316194634816
B2_04,04,0,0.76,-1.8189962765995973
B2_04,04,0,0.772,-1.9039490431174817
B2_04,04,0,0.784,-2.0192482620874554
B2_04,04,0,0.795,-2.1632084195165753
B2_04,04,0,0.807,-2.241557388499528
B2_04,04,0,0.818,-2.3610194457621954
B2_04,04,0,0.83,-2.211723007915082
B2_04,04,0,0.842,-2.2313399704102723
B2_04,04,0,0.854,-2.1060387491173262
B2_04,04,0,0.866,-2.1632788744612665
B2_04,04,0,0.878,-2.318698735985513
B2_04,04,0,0.89,-2.68645068269998
B2_04,04,0,0.902,-2.5102416411921236
B2_04,04,0,0.914,-2.4386151911444625
B2_04,04,0,0.925,-2.271375447123427
B2_04,04,0,0.937,-2.2706240388527013
B2_04,04,0,0.949,-2.5917496475649044
B2_04,04,0,0.985,-2.5039472298911347
B2_04,04,0,0.997,-2.2062111657495738
B2_04,04,0,1.01,-2.0976791834695976
B2_04,04,0,1.022,-2.1210712591169045
B2_04,04,0,1.033,-2.061933039154578
B2_04,04,0,1.046,-2.1058758282527505
B2_04,04,0,1.058,-2.352812092264723
B2_04,04,0,1.07,-2.2371045549975364
B2_04,04,0,1.082,-2.426560120270434
B2_04,04,0,1.093,-2.573347970027141
B2_04,04,0,1.105,-2.613617848316795
B2_04,04,0,1.117,-2.453413150908704
B2_04,04,0,1.129,-2.0822297462925254
B2_04,04,0,1.141,-2.0632148938309194
B2_04,04,0,1.152,-2.2078890424909567
B2_04,04,0,1.164,-2.1275003747621137
B2_04,04,0,1.176,-2.1336909543546905
B2_04,04,0,1.188,-2.1512672148430054
B2_04,04,0,1.2,-2.3118226931673878
B2_04,04,0,1.211,-2.401588004910498
B2_04,04,0,1.223,-2.461198964745342
B2_04,04,0,1.235,-2.408905723869933
B2_04,04,0,1.246,-2.2790760846507925
B2_04,04,0,1.258,-2.5233513944927877
B2_04,04,0,1.269,-2.4075850555513947
B2_04,04,0,1.281,-2.295930734487038
B2_04,04,0,1.293,-2.410483199756214
B2_04,04,0,1.304,-2.433811006881865
B2_04,04,0,1.315,-2.3984503949239087
B2_04,04,0,1.327,-2.314723179387276
B2_04,04,0,1.339,-2.4142600067265105
B2_04,04,0,1.351,-2.480025638376821
B2_04,04,0,1.363,-2.4545349695754237
B2_04,04,0,1.375,-2.4796364978887815
B2_04,04,0,1.387,-2.4721877265194734
B2_04,04,0,1.399,-2.3546664640837194
B2_04,04,0,1.411,-2.267603976036692
B2_04,04,0,1.423,-2.1226204382732954
B2_04,04,0,1.435,-2.1819838769853424
B2_04,04,0,1.447,-2.230608783410906
B2_04,04,0,1.459,-2.2665737296982895
B2_04,04,0,1.471,-2.2380540082637874
B2_04,04,0,1.483,-2.2210125700174146
B2_04,04,0,1.495,-2.179199875868794
B2_04,04,0,1.508,-2.2000649462561634
B2_04,04,0,1.52,-2.2143474192975723
B2_04,04,0,1.532,-2.1236436973481116
B2_04,04,0,1.544,-1.931144006308095
B2_04,04,0,1.556,-1.9675273197177954
B2_04,04,0,1.568,-2.048008678309047
B2_04,04,0,1.58,-2.092616514502012
B2_04,04,0,1.592,-2.082055351639176
B2_04,04,0,1.604,-2.151686749414727
B2_04,04,0,1.616,-2.1766240393074567
B2_04,04,0,1.628,-2.3449306306388267
B2_04,04,0,1.639,-2.2248399252889115
B2_04,04,0,1.651,-2.0297867785611543
B2_04,04,0,1.663,-1.9851530238774122
B2_04,04,0,1.675,-2.0604434315877924
B2_04,04,0,1.687,-1.9977890813359886
B2_04,04,0,1.699,-2.155171374348866
B2_04,04,0,1.711,-2.1620075269000205
B2_04,04,0,1.722,-1.9763417070809188
B2_04,04,0,1.734,-1.9089830614046572
B2_04,04,0,1.745,-2.052011967809182
B2_04,04,0,1.756,-2.1078030113856143
B2_04,04,0,1.768,-2.1761533134140705
B2_04,04,0,1.78,-2.1973091941321066
B2_04,04,0,1.791,-2.2546689326591705
B2_04,04,0,1.803,-2.3588594270023253
B2_04,04,0,1.815,-2.2649162029788226
B2_04,04,0,1.826,-2.3228972422374152
B2_04,04,0,1.838,-2.264173139970466
B2_04,04,0,1.85,-2.2391113985866142
B2_04,04,0,1.863,-2.109472943152222
B2_04,04,0,1.874,-1.9845640848412474
B2_04,04,0,1.886,-2.0524107065791375
B2_04,04,0,1.898,-2.129366448463154
B2_04,04,0,1.91,-2.1067580940678203
B2_04,04,0,1.922,-2.0449134574892796
B2_04,04,0,1.934,-2.02420850530617
